"no","code","description","function","authorization"
"4","APM001","Accounts Payable Menu","Month End Processing","FPROGRAMMR"
"4","APM001","Accounts Payable Menu","Month End Processing","PROGRAMMER"
"5","APM001","Accounts Payable Menu","Year End Processing","ACCTSUPR"
"5","APM001","Accounts Payable Menu","Year End Processing","APCLERK"
"5","APM001","Accounts Payable Menu","Year End Processing","CORPACCTCK"
"5","APM001","Accounts Payable Menu","Year End Processing","CORPACCTV"
"5","APM001","Accounts Payable Menu","Year End Processing","FACCTSUPR"
"5","APM001","Accounts Payable Menu","Year End Processing","FAPCLERK"
"5","APM001","Accounts Payable Menu","Year End Processing","FCORPACCTC"
"5","APM001","Accounts Payable Menu","Year End Processing","FCORPACCTV"
"5","APM001","Accounts Payable Menu","Year End Processing","FPROGRAMMR"
"5","APM001","Accounts Payable Menu","Year End Processing","PROGRAMMER"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","ACCTSUPR"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","ALLUSROPT"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","APCLERK"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","CORPACCTCK"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","CORPACCTV"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","FACCTSUPR"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","FALLUSROPT"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","FAPCLERK"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","FCORPACCTC"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","FCORPACCTV"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","FPROGRAMMR"
"10","APM001","Accounts Payable Menu","Miscellaneous Print Menu","PROGRAMMER"
"20","APM001","Accounts Payable Menu","Table File Maintenance","ACCTSUPR"
"20","APM001","Accounts Payable Menu","Table File Maintenance","CORPACCTCK"
"20","APM001","Accounts Payable Menu","Table File Maintenance","CORPACCTV"
"20","APM001","Accounts Payable Menu","Table File Maintenance","FACCTSUPR"
"20","APM001","Accounts Payable Menu","Table File Maintenance","FCORPACCTC"
"20","APM001","Accounts Payable Menu","Table File Maintenance","FCORPACCTV"
"20","APM001","Accounts Payable Menu","Table File Maintenance","FPROGRAMMR"
"20","APM001","Accounts Payable Menu","Table File Maintenance","PROGRAMMER"
"30","APM001","Accounts Payable Menu","Vendor","ACCTSUPR"
"30","APM001","Accounts Payable Menu","Vendor","ALLUSROPT"
"30","APM001","Accounts Payable Menu","Vendor","APCLERK"
"30","APM001","Accounts Payable Menu","Vendor","CORPACCTCK"
"30","APM001","Accounts Payable Menu","Vendor","CORPACCTV"
"30","APM001","Accounts Payable Menu","Vendor","DATAADMIN"
"30","APM001","Accounts Payable Menu","Vendor","EXPPRICE"
"30","APM001","Accounts Payable Menu","Vendor","FACCTSUPR"
"30","APM001","Accounts Payable Menu","Vendor","FALLUSROPT"
"30","APM001","Accounts Payable Menu","Vendor","FAPCLERK"
"30","APM001","Accounts Payable Menu","Vendor","FCORPACCTC"
"30","APM001","Accounts Payable Menu","Vendor","FCORPACCTV"
"30","APM001","Accounts Payable Menu","Vendor","FDATAADMIN"
"30","APM001","Accounts Payable Menu","Vendor","FEXPPRICE"
"30","APM001","Accounts Payable Menu","Vendor","FPROGRAMMR"
"30","APM001","Accounts Payable Menu","Vendor","FRETFLOOR"
"30","APM001","Accounts Payable Menu","Vendor","FWHSEFLOOR"
"30","APM001","Accounts Payable Menu","Vendor","PROGRAMMER"
"30","APM001","Accounts Payable Menu","Vendor","RETFLOOR"
"30","APM001","Accounts Payable Menu","Vendor","WHSEFLOOR"
"31","APM001","Accounts Payable Menu","Invoice","ACCTSUPR"
"31","APM001","Accounts Payable Menu","Invoice","ALLUSROPT"
"31","APM001","Accounts Payable Menu","Invoice","APCLERK"
"31","APM001","Accounts Payable Menu","Invoice","CORPACCTCK"
"31","APM001","Accounts Payable Menu","Invoice","CORPACCTV"
"31","APM001","Accounts Payable Menu","Invoice","DATAADMIN"
"31","APM001","Accounts Payable Menu","Invoice","EXPPRICE"
"31","APM001","Accounts Payable Menu","Invoice","FACCTSUPR"
"31","APM001","Accounts Payable Menu","Invoice","FALLUSROPT"
"31","APM001","Accounts Payable Menu","Invoice","FAPCLERK"
"31","APM001","Accounts Payable Menu","Invoice","FCORPACCTC"
"31","APM001","Accounts Payable Menu","Invoice","FCORPACCTV"
"31","APM001","Accounts Payable Menu","Invoice","FDATAADMIN"
"31","APM001","Accounts Payable Menu","Invoice","FEXPPRICE"
"31","APM001","Accounts Payable Menu","Invoice","FPROGRAMMR"
"31","APM001","Accounts Payable Menu","Invoice","PROGRAMMER"
"32","APM001","Accounts Payable Menu","Purchase Orders","ACCTSUPR"
"32","APM001","Accounts Payable Menu","Purchase Orders","ALLUSROPT"
"32","APM001","Accounts Payable Menu","Purchase Orders","APCLERK"
"32","APM001","Accounts Payable Menu","Purchase Orders","CORPACCTCK"
"32","APM001","Accounts Payable Menu","Purchase Orders","CORPACCTV"
"32","APM001","Accounts Payable Menu","Purchase Orders","EXPPRICE"
"32","APM001","Accounts Payable Menu","Purchase Orders","FACCTSUPR"
"32","APM001","Accounts Payable Menu","Purchase Orders","FALLUSROPT"
"32","APM001","Accounts Payable Menu","Purchase Orders","FAPCLERK"
"32","APM001","Accounts Payable Menu","Purchase Orders","FCORPACCTC"
"32","APM001","Accounts Payable Menu","Purchase Orders","FCORPACCTV"
"32","APM001","Accounts Payable Menu","Purchase Orders","FEXPPRICE"
"32","APM001","Accounts Payable Menu","Purchase Orders","FPROGRAMMR"
"32","APM001","Accounts Payable Menu","Purchase Orders","PROGRAMMER"
"1","APM002","Vendor Processing","Vendor Master","CORPACCTCK"
"1","APM002","Vendor Processing","Vendor Master","CORPACCTV"
"1","APM002","Vendor Processing","Vendor Master","FCORPACCTC"
"1","APM002","Vendor Processing","Vendor Master","FCORPACCTV"
"1","APM002","Vendor Processing","Vendor Master","FPROGRAMMR"
"1","APM002","Vendor Processing","Vendor Master","PROGRAMMER"
"2","APM002","Vendor Processing","EDI Trading Partnr/Vendr File","FPROGRAMMR"
"2","APM002","Vendor Processing","EDI Trading Partnr/Vendr File","PROGRAMMER"
"20","APM002","Vendor Processing","Vendor Listings","FPROGRAMMR"
"20","APM002","Vendor Processing","Vendor Listings","PROGRAMMER"
"30","APM002","Vendor Processing","Vendor Inquiry","APCLERK"
"30","APM002","Vendor Processing","Vendor Inquiry","CORPACCTCK"
"30","APM002","Vendor Processing","Vendor Inquiry","CORPACCTV"
"30","APM002","Vendor Processing","Vendor Inquiry","DATAADMIN"
"30","APM002","Vendor Processing","Vendor Inquiry","FAPCLERK"
"30","APM002","Vendor Processing","Vendor Inquiry","FCORPACCTC"
"30","APM002","Vendor Processing","Vendor Inquiry","FCORPACCTV"
"30","APM002","Vendor Processing","Vendor Inquiry","FDATAADMIN"
"30","APM002","Vendor Processing","Vendor Inquiry","FPROGRAMMR"
"30","APM002","Vendor Processing","Vendor Inquiry","PROGRAMMER"
"80","APM002","Vendor Processing","Printer/Message Control","CORPACCTCK"
"80","APM002","Vendor Processing","Printer/Message Control","CORPACCTV"
"80","APM002","Vendor Processing","Printer/Message Control","DATAADMIN"
"80","APM002","Vendor Processing","Printer/Message Control","FCORPACCTC"
"80","APM002","Vendor Processing","Printer/Message Control","FCORPACCTV"
"80","APM002","Vendor Processing","Printer/Message Control","FDATAADMIN"
"80","APM002","Vendor Processing","Printer/Message Control","FPROGRAMMR"
"80","APM002","Vendor Processing","Printer/Message Control","PROGRAMMER"
"90","APM002","Vendor Processing","Signoff","CORPACCTCK"
"90","APM002","Vendor Processing","Signoff","CORPACCTV"
"90","APM002","Vendor Processing","Signoff","DATAADMIN"
"90","APM002","Vendor Processing","Signoff","FCORPACCTC"
"90","APM002","Vendor Processing","Signoff","FCORPACCTV"
"90","APM002","Vendor Processing","Signoff","FDATAADMIN"
"90","APM002","Vendor Processing","Signoff","FPROGRAMMR"
"90","APM002","Vendor Processing","Signoff","PROGRAMMER"
"1","APM003","Invoice Processing","Invoice Program","APCLERK"
"1","APM003","Invoice Processing","Invoice Program","CORPACCTCK"
"1","APM003","Invoice Processing","Invoice Program","CORPACCTV"
"1","APM003","Invoice Processing","Invoice Program","FAPCLERK"
"1","APM003","Invoice Processing","Invoice Program","FCORPACCTC"
"1","APM003","Invoice Processing","Invoice Program","FCORPACCTV"
"1","APM003","Invoice Processing","Invoice Program","FPROGRAMMR"
"1","APM003","Invoice Processing","Invoice Program","PROGRAMMER"
"2","APM003","Invoice Processing","Invoice A/P Edit","APCLERK"
"2","APM003","Invoice Processing","Invoice A/P Edit","CORPACCTCK"
"2","APM003","Invoice Processing","Invoice A/P Edit","CORPACCTV"
"2","APM003","Invoice Processing","Invoice A/P Edit","FAPCLERK"
"2","APM003","Invoice Processing","Invoice A/P Edit","FCORPACCTC"
"2","APM003","Invoice Processing","Invoice A/P Edit","FCORPACCTV"
"2","APM003","Invoice Processing","Invoice A/P Edit","FPROGRAMMR"
"2","APM003","Invoice Processing","Invoice A/P Edit","PROGRAMMER"
"3","APM003","Invoice Processing","Invoice A/P Post","APCLERK"
"3","APM003","Invoice Processing","Invoice A/P Post","CORPACCTCK"
"3","APM003","Invoice Processing","Invoice A/P Post","CORPACCTV"
"3","APM003","Invoice Processing","Invoice A/P Post","FAPCLERK"
"3","APM003","Invoice Processing","Invoice A/P Post","FCORPACCTC"
"3","APM003","Invoice Processing","Invoice A/P Post","FCORPACCTV"
"3","APM003","Invoice Processing","Invoice A/P Post","FPROGRAMMR"
"3","APM003","Invoice Processing","Invoice A/P Post","PROGRAMMER"
"10","APM003","Invoice Processing","Invoice Purchase Orders","ALLUSROPT"
"10","APM003","Invoice Processing","Invoice Purchase Orders","APCLERK"
"10","APM003","Invoice Processing","Invoice Purchase Orders","CORPACCTCK"
"10","APM003","Invoice Processing","Invoice Purchase Orders","CORPACCTV"
"10","APM003","Invoice Processing","Invoice Purchase Orders","FALLUSROPT"
"10","APM003","Invoice Processing","Invoice Purchase Orders","FAPCLERK"
"10","APM003","Invoice Processing","Invoice Purchase Orders","FCORPACCTC"
"10","APM003","Invoice Processing","Invoice Purchase Orders","FCORPACCTV"
"10","APM003","Invoice Processing","Invoice Purchase Orders","FPROGRAMMR"
"10","APM003","Invoice Processing","Invoice Purchase Orders","PROGRAMMER"
"11","APM003","Invoice Processing","Edit P.O. Invoices","APCLERK"
"11","APM003","Invoice Processing","Edit P.O. Invoices","CORPACCTCK"
"11","APM003","Invoice Processing","Edit P.O. Invoices","CORPACCTV"
"11","APM003","Invoice Processing","Edit P.O. Invoices","FAPCLERK"
"11","APM003","Invoice Processing","Edit P.O. Invoices","FCORPACCTC"
"11","APM003","Invoice Processing","Edit P.O. Invoices","FCORPACCTV"
"11","APM003","Invoice Processing","Edit P.O. Invoices","FPROGRAMMR"
"11","APM003","Invoice Processing","Edit P.O. Invoices","PROGRAMMER"
"12","APM003","Invoice Processing","Post P.O. Invoices","APCLERK"
"12","APM003","Invoice Processing","Post P.O. Invoices","CORPACCTCK"
"12","APM003","Invoice Processing","Post P.O. Invoices","CORPACCTV"
"12","APM003","Invoice Processing","Post P.O. Invoices","FAPCLERK"
"12","APM003","Invoice Processing","Post P.O. Invoices","FCORPACCTC"
"12","APM003","Invoice Processing","Post P.O. Invoices","FCORPACCTV"
"12","APM003","Invoice Processing","Post P.O. Invoices","FPROGRAMMR"
"12","APM003","Invoice Processing","Post P.O. Invoices","PROGRAMMER"
"13","APM003","Invoice Processing","Edit A/P Invoices","APCLERK"
"13","APM003","Invoice Processing","Edit A/P Invoices","CORPACCTCK"
"13","APM003","Invoice Processing","Edit A/P Invoices","CORPACCTV"
"13","APM003","Invoice Processing","Edit A/P Invoices","FAPCLERK"
"13","APM003","Invoice Processing","Edit A/P Invoices","FCORPACCTC"
"13","APM003","Invoice Processing","Edit A/P Invoices","FCORPACCTV"
"13","APM003","Invoice Processing","Edit A/P Invoices","FPROGRAMMR"
"13","APM003","Invoice Processing","Edit A/P Invoices","PROGRAMMER"
"14","APM003","Invoice Processing","Post A/P Invoices","APCLERK"
"14","APM003","Invoice Processing","Post A/P Invoices","CORPACCTCK"
"14","APM003","Invoice Processing","Post A/P Invoices","CORPACCTV"
"14","APM003","Invoice Processing","Post A/P Invoices","FAPCLERK"
"14","APM003","Invoice Processing","Post A/P Invoices","FCORPACCTC"
"14","APM003","Invoice Processing","Post A/P Invoices","FCORPACCTV"
"14","APM003","Invoice Processing","Post A/P Invoices","FPROGRAMMR"
"14","APM003","Invoice Processing","Post A/P Invoices","PROGRAMMER"
"15","APM003","Invoice Processing","Change Invoice Job#","APCLERK"
"15","APM003","Invoice Processing","Change Invoice Job#","CORPACCTCK"
"15","APM003","Invoice Processing","Change Invoice Job#","CORPACCTV"
"15","APM003","Invoice Processing","Change Invoice Job#","FAPCLERK"
"15","APM003","Invoice Processing","Change Invoice Job#","FCORPACCTC"
"15","APM003","Invoice Processing","Change Invoice Job#","FCORPACCTV"
"15","APM003","Invoice Processing","Change Invoice Job#","FPROGRAMMR"
"15","APM003","Invoice Processing","Change Invoice Job#","PROGRAMMER"
"30","APM003","Invoice Processing","Invoice Inquiry","ALLUSROPT"
"30","APM003","Invoice Processing","Invoice Inquiry","APCLERK"
"30","APM003","Invoice Processing","Invoice Inquiry","CORPACCTCK"
"30","APM003","Invoice Processing","Invoice Inquiry","CORPACCTV"
"30","APM003","Invoice Processing","Invoice Inquiry","DATAADMIN"
"30","APM003","Invoice Processing","Invoice Inquiry","FALLUSROPT"
"30","APM003","Invoice Processing","Invoice Inquiry","FAPCLERK"
"30","APM003","Invoice Processing","Invoice Inquiry","FCORPACCTC"
"30","APM003","Invoice Processing","Invoice Inquiry","FCORPACCTV"
"30","APM003","Invoice Processing","Invoice Inquiry","FDATAADMIN"
"30","APM003","Invoice Processing","Invoice Inquiry","FPROGRAMMR"
"30","APM003","Invoice Processing","Invoice Inquiry","PROGRAMMER"
"31","APM003","Invoice Processing","P.O. Inquiry","ALLUSROPT"
"31","APM003","Invoice Processing","P.O. Inquiry","APCLERK"
"31","APM003","Invoice Processing","P.O. Inquiry","CORPACCTCK"
"31","APM003","Invoice Processing","P.O. Inquiry","CORPACCTV"
"31","APM003","Invoice Processing","P.O. Inquiry","DATAADMIN"
"31","APM003","Invoice Processing","P.O. Inquiry","FALLUSROPT"
"31","APM003","Invoice Processing","P.O. Inquiry","FAPCLERK"
"31","APM003","Invoice Processing","P.O. Inquiry","FCORPACCTC"
"31","APM003","Invoice Processing","P.O. Inquiry","FCORPACCTV"
"31","APM003","Invoice Processing","P.O. Inquiry","FDATAADMIN"
"31","APM003","Invoice Processing","P.O. Inquiry","FPROGRAMMR"
"31","APM003","Invoice Processing","P.O. Inquiry","PROGRAMMER"
"1","APM004","Check Processing","Vendor Aging","APCLERK"
"1","APM004","Check Processing","Vendor Aging","FAPCLERK"
"1","APM004","Check Processing","Vendor Aging","FPROGRAMMR"
"1","APM004","Check Processing","Vendor Aging","PROGRAMMER"
"2","APM004","Check Processing","Cash Requirement","APCLERK"
"2","APM004","Check Processing","Cash Requirement","FAPCLERK"
"2","APM004","Check Processing","Cash Requirement","FPROGRAMMR"
"2","APM004","Check Processing","Cash Requirement","PROGRAMMER"
"3","APM004","Check Processing","Mark For Payment By Date","APCLERK"
"3","APM004","Check Processing","Mark For Payment By Date","FAPCLERK"
"3","APM004","Check Processing","Mark For Payment By Date","FPROGRAMMR"
"3","APM004","Check Processing","Mark For Payment By Date","PROGRAMMER"
"4","APM004","Check Processing","Mark/Hold Invoices By Vendor","APCLERK"
"4","APM004","Check Processing","Mark/Hold Invoices By Vendor","FAPCLERK"
"4","APM004","Check Processing","Mark/Hold Invoices By Vendor","FPROGRAMMR"
"4","APM004","Check Processing","Mark/Hold Invoices By Vendor","PROGRAMMER"
"10","APM004","Check Processing","Pre-check Payment List","APCLERK"
"10","APM004","Check Processing","Pre-check Payment List","FAPCLERK"
"10","APM004","Check Processing","Pre-check Payment List","FPROGRAMMR"
"10","APM004","Check Processing","Pre-check Payment List","PROGRAMMER"
"11","APM004","Check Processing","Write Checks","APCLERK"
"11","APM004","Check Processing","Write Checks","FAPCLERK"
"11","APM004","Check Processing","Write Checks","FPROGRAMMR"
"11","APM004","Check Processing","Write Checks","PROGRAMMER"
"12","APM004","Check Processing","Check Register","APCLERK"
"12","APM004","Check Processing","Check Register","FAPCLERK"
"12","APM004","Check Processing","Check Register","FPROGRAMMR"
"12","APM004","Check Processing","Check Register","PROGRAMMER"
"30","APM004","Check Processing","Manual Checks","APCLERK"
"30","APM004","Check Processing","Manual Checks","FAPCLERK"
"30","APM004","Check Processing","Manual Checks","FPROGRAMMR"
"30","APM004","Check Processing","Manual Checks","PROGRAMMER"
"31","APM004","Check Processing","Void A/P Checks","APCLERK"
"31","APM004","Check Processing","Void A/P Checks","FAPCLERK"
"31","APM004","Check Processing","Void A/P Checks","FPROGRAMMR"
"31","APM004","Check Processing","Void A/P Checks","PROGRAMMER"
"33","APM004","Check Processing","Unused Checks","FPROGRAMMR"
"33","APM004","Check Processing","Unused Checks","PROGRAMMER"
"60","APM004","Check Processing","Allow Check Recovery","APCLERK"
"60","APM004","Check Processing","Allow Check Recovery","FAPCLERK"
"60","APM004","Check Processing","Allow Check Recovery","FPROGRAMMR"
"60","APM004","Check Processing","Allow Check Recovery","PROGRAMMER"
"70","APM004","Check Processing","Check Recovery","APCLERK"
"70","APM004","Check Processing","Check Recovery","FAPCLERK"
"70","APM004","Check Processing","Check Recovery","FPROGRAMMR"
"70","APM004","Check Processing","Check Recovery","PROGRAMMER"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","ACCTSUPR"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","APCLERK"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","CORPACCTCK"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","CORPACCTV"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","FACCTSUPR"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","FAPCLERK"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","FCORPACCTC"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","FCORPACCTV"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","FPROGRAMMR"
"1","APM005","Miscellaneous Print Menu","Deferred Invoices","PROGRAMMER"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","ACCTSUPR"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","APCLERK"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","CORPACCTCK"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","CORPACCTV"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","FACCTSUPR"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","FAPCLERK"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","FCORPACCTC"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","FCORPACCTV"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","FPROGRAMMR"
"2","APM005","Miscellaneous Print Menu","Credit Vendor","PROGRAMMER"
"3","APM005","Miscellaneous Print Menu","Job Distribution","ACCTSUPR"
"3","APM005","Miscellaneous Print Menu","Job Distribution","APCLERK"
"3","APM005","Miscellaneous Print Menu","Job Distribution","CORPACCTCK"
"3","APM005","Miscellaneous Print Menu","Job Distribution","CORPACCTV"
"3","APM005","Miscellaneous Print Menu","Job Distribution","FACCTSUPR"
"3","APM005","Miscellaneous Print Menu","Job Distribution","FAPCLERK"
"3","APM005","Miscellaneous Print Menu","Job Distribution","FCORPACCTC"
"3","APM005","Miscellaneous Print Menu","Job Distribution","FCORPACCTV"
"3","APM005","Miscellaneous Print Menu","Job Distribution","FPROGRAMMR"
"3","APM005","Miscellaneous Print Menu","Job Distribution","PROGRAMMER"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","ACCTSUPR"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","ALLUSROPT"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","APCLERK"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","CORPACCTCK"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","CORPACCTV"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","FACCTSUPR"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","FALLUSROPT"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","FAPCLERK"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","FCORPACCTC"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","FCORPACCTV"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","FPROGRAMMR"
"4","APM005","Miscellaneous Print Menu","Vendor Payment History","PROGRAMMER"
"5","APM005","Miscellaneous Print Menu","Whse. Aging Of Quarantine Prod","FPROGRAMMR"
"5","APM005","Miscellaneous Print Menu","Whse. Aging Of Quarantine Prod","PROGRAMMER"
"6","APM005","Miscellaneous Print Menu","Print P.O.s","APCLERK"
"6","APM005","Miscellaneous Print Menu","Print P.O.s","FAPCLERK"
"6","APM005","Miscellaneous Print Menu","Print P.O.s","FPROGRAMMR"
"6","APM005","Miscellaneous Print Menu","Print P.O.s","PROGRAMMER"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","ACCTSUPR"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","ALLUSROPT"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","APCLERK"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","CORPACCTCK"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","CORPACCTV"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","FACCTSUPR"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","FALLUSROPT"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","FAPCLERK"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","FCORPACCTC"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","FCORPACCTV"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","FPROGRAMMR"
"80","APM005","Miscellaneous Print Menu","Printer/Message Control","PROGRAMMER"
"90","APM005","Miscellaneous Print Menu","Signoff","ACCTSUPR"
"90","APM005","Miscellaneous Print Menu","Signoff","ALLUSROPT"
"90","APM005","Miscellaneous Print Menu","Signoff","APCLERK"
"90","APM005","Miscellaneous Print Menu","Signoff","CORPACCTCK"
"90","APM005","Miscellaneous Print Menu","Signoff","CORPACCTV"
"90","APM005","Miscellaneous Print Menu","Signoff","FACCTSUPR"
"90","APM005","Miscellaneous Print Menu","Signoff","FALLUSROPT"
"90","APM005","Miscellaneous Print Menu","Signoff","FAPCLERK"
"90","APM005","Miscellaneous Print Menu","Signoff","FCORPACCTC"
"90","APM005","Miscellaneous Print Menu","Signoff","FCORPACCTV"
"90","APM005","Miscellaneous Print Menu","Signoff","FPROGRAMMR"
"90","APM005","Miscellaneous Print Menu","Signoff","PROGRAMMER"
"1","APM006","Year End Processing","Process 1099s","ACCTSUPR"
"1","APM006","Year End Processing","Process 1099s","CORPACCTCK"
"1","APM006","Year End Processing","Process 1099s","CORPACCTV"
"1","APM006","Year End Processing","Process 1099s","FACCTSUPR"
"1","APM006","Year End Processing","Process 1099s","FCORPACCTC"
"1","APM006","Year End Processing","Process 1099s","FCORPACCTV"
"1","APM006","Year End Processing","Process 1099s","FPROGRAMMR"
"1","APM006","Year End Processing","Process 1099s","PROGRAMMER"
"2","APM006","Year End Processing","Clear Year To Date Fields","ACCTSUPR"
"2","APM006","Year End Processing","Clear Year To Date Fields","CORPACCTCK"
"2","APM006","Year End Processing","Clear Year To Date Fields","CORPACCTV"
"2","APM006","Year End Processing","Clear Year To Date Fields","FACCTSUPR"
"2","APM006","Year End Processing","Clear Year To Date Fields","FCORPACCTC"
"2","APM006","Year End Processing","Clear Year To Date Fields","FCORPACCTV"
"2","APM006","Year End Processing","Clear Year To Date Fields","FPROGRAMMR"
"2","APM006","Year End Processing","Clear Year To Date Fields","PROGRAMMER"
"30","APM006","Year End Processing","Check register Y-T-D","ACCTSUPR"
"30","APM006","Year End Processing","Check register Y-T-D","APCLERK"
"30","APM006","Year End Processing","Check register Y-T-D","CORPACCTCK"
"30","APM006","Year End Processing","Check register Y-T-D","CORPACCTV"
"30","APM006","Year End Processing","Check register Y-T-D","FACCTSUPR"
"30","APM006","Year End Processing","Check register Y-T-D","FAPCLERK"
"30","APM006","Year End Processing","Check register Y-T-D","FCORPACCTC"
"30","APM006","Year End Processing","Check register Y-T-D","FCORPACCTV"
"30","APM006","Year End Processing","Check register Y-T-D","FPROGRAMMR"
"30","APM006","Year End Processing","Check register Y-T-D","PROGRAMMER"
"80","APM006","Year End Processing","Printer/Message Control","ACCTSUPR"
"80","APM006","Year End Processing","Printer/Message Control","APCLERK"
"80","APM006","Year End Processing","Printer/Message Control","CORPACCTCK"
